epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,151.144,1.31645,0.68845,0.00965,0.73717,0.62381,0.62549,0.27566,2.02388,1.1875,0.02179,0.00156208,0.00156208,0.00156208
128,152.211,1.33999,0.55879,0.00748,0.65986,0.68016,0.65591,0.27199,2.07924,1.24955,0.02052,0.00156125,0.00156125,0.00156125
129,153.286,1.36968,0.49692,0.00877,0.85592,0.66487,0.7025,0.31542,2.00675,1.34163,0.01969,0.00156042,0.00156042,0.00156042
130,154.357,1.25386,0.53441,0.00855,0.70317,0.7018,0.67452,0.32242,2.04463,1.26765,0.02195,0.00155959,0.00155959,0.00155959
131,155.446,1.27813,0.50613,0.00837,0.69108,0.66508,0.65896,0.30005,2.0643,1.20002,0.02236,0.00155875,0.00155875,0.00155875
132,156.523,1.20291,0.46695,0.00926,0.76375,0.67937,0.69105,0.2882,2.06799,1.21746,0.02038,0.00155792,0.00155792,0.00155792
133,157.619,1.28323,0.54987,0.0089,0.72042,0.66111,0.64734,0.28467,2.0088,1.2473,0.01728,0.00155709,0.00155709,0.00155709
134,158.733,1.30562,0.55332,0.00929,0.6848,0.62302,0.64482,0.28967,2.0517,1.24402,0.01902,0.00155626,0.00155626,0.00155626
135,159.833,1.25926,0.4938,0.0107,0.5511,0.6766,0.6219,0.25666,2.03191,1.20642,0.01889,0.00155542,0.00155542,0.00155542
136,160.92,1.30809,0.52472,0.00804,0.64931,0.5847,0.59721,0.27419,2.04028,1.26815,0.0193,0.00155459,0.00155459,0.00155459
137,162.026,1.46746,0.56466,0.01101,0.65443,0.56557,0.57243,0.28019,1.92796,1.23234,0.01861,0.00155376,0.00155376,0.00155376
138,163.14,1.28959,0.56252,0.00691,0.7207,0.59354,0.65873,0.3256,1.88218,1.18626,0.01852,0.00155292,0.00155292,0.00155292
139,164.258,1.24996,0.6243,0.0077,0.68357,0.69362,0.64221,0.3275,1.90366,1.20112,0.01799,0.00155209,0.00155209,0.00155209
140,165.407,1.18192,0.54342,0.00786,0.63095,0.67185,0.62562,0.32262,1.87574,1.15475,0.01854,0.00155126,0.00155126,0.00155126
141,166.491,1.18857,0.46525,0.00899,0.66793,0.69008,0.61316,0.32392,1.85485,1.1291,0.0178,0.00155043,0.00155043,0.00155043
142,167.587,1.22285,0.43037,0.00769,0.65923,0.6373,0.57285,0.28604,1.91974,1.24785,0.01823,0.00154959,0.00154959,0.00154959
